Products;January 2019;February 2019;March 2019;April 2019;May 2019;June 2019;July 2019;August 2019;September 2019;October 2019;November 2019;December 2019;January 2020;February 2020;March 2020;April 2020;May 2020;June 2020;July 2020;August 2020;September 2020;October 2020;November 2020;December 2020;January 2021;February 2021;March 2021;April 2021;May 2021;June 2021;July 2021;August 2021;September 2021;October 2021;November 2021;December 2021;January 2022
ensemble;133.6;134.5;135.4;136.0;136.6;136.3;137.0;136.8;136.2;136.6;136.4;136.4;136.8;137.4;136.6;135.7;136.1;137.2;137.2;137.0;136.9;137.5;137.7;137.4;138.2;138.9;139.6;140.3;141.0;141.4;142.3;142.6;142.9;143.9;144.2;144.0;145.3
Aliments;148.7;149.3;149.4;149.0;149.7;150.7;151.6;151.1;150.2;149.9;151.1;151.9;153.5;152.9;152.8;154.0;154.3;154.8;155.0;153.8;152.6;153.3;153.9;153.6;155.0;155.6;155.5;155.4;156.6;156.8;157.6;158.0;158.5;159.2;160.7;161.6;163.9
Logement;143.0;143.4;143.8;144.1;144.2;144.0;144.3;144.6;144.8;145.7;145.9;146.3;146.4;146.7;146.5;146.0;145.6;146.4;146.4;146.8;147.3;148.3;148.7;148.7;148.4;148.8;150.0;150.7;151.7;152.8;153.5;153.9;154.4;155.4;155.9;156.8;157.6
Dépenses courantes;123.3;123.6;123.5;123.8;123.9;124.1;123.5;123.5;123.6;123.8;123.6;122.9;122.6;123.3;123.7;124.2;123.6;123.7;124.2;124.0;124.0;124.3;124.3;123.6;124.3;124.3;123.5;124.7;124.7;124.8;125.6;125.8;125.9;126.5;126.3;126.1;126.7
Vêtements et chaussures;92.2;94.8;96.4;97.2;96.7;94.9;94.0;94.7;98.5;99.4;98.5;95.3;95.8;97.4;99.0;93.2;91.5;92.4;92.1;93.5;94.5;95.4;96.2;92.1;91.9;92.7;93.7;94.9;95.1;93.4;93.0;93.3;94.7;96.0;96.9;93.1;93.4
Transport;136.6;137.9;140.6;143.0;144.0;142.7;144.2;143.3;140.3;141.3;141.5;143.1;143.4;144.0;138.9;136.7;139.7;142.8;142.8;141.5;140.4;141.1;141.3;142.3;144.9;147.1;148.8;149.5;150.3;150.8;152.2;153.8;153.2;155.4;155.4;154.9;156.9
Essence;149.6;152.4;170.1;187.1;189.2;174.1;179.9;170.9;169.5;170.1;166.7;165.8;166.4;163.1;134.0;113.6;132.8;146.7;153.1;151.9;151.3;149.0;146.8;151.7;160.9;171.3;181.3;184.6;190.5;193.6;200.4;201.3;201.0;211.1;210.8;202.2;211.9
Soins;125.9;126.4;126.6;127.1;127.3;127.7;128.0;127.8;127.8;127.9;128.0;127.9;128.6;128.8;128.6;128.7;128.4;128.3;128.8;129.6;129.8;130.2;130.6;130.0;130.3;130.5;130.5;132.5;132.4;132.6;133.4;133.3;133.7;133.9;134.1;133.4;134.1
Loisirs;13.3;115.2;116.6;115.8;118.6;117.9;121.1;119.8;118.0;117.6;114.5;113.2;113.0;116.0;116.0;115.0;115.5;116.3;116.3;116.1;116.6;116.1;115.6;115.5;116.3;116.1;116.4;116.8;117.6;118.0;119.7;118.6;119.0;120.1;118.5;117.7;119.2
boisons et autres;170.6;170.9;170.9;171.3;171.7;171.2;171.0;171.1;170.9;171.3;172.0;170.0;171.4;171.4;171.5;172.1;172.1;172.2;172.0;171.8;172.1;172.5;172.1;171.4;172.5;173.2;173.6;174.4;175.2;175.5;175.0;176.2;175.8;176.2;176.6;175.7;178.2
sauf aliments et énergie;128.6;129.6;130.0;130.1;130.7;130.8;131.3;131.3;130.8;131.4;131.0;130.8;131.0;132.1;132.2;131.8;131.5;132.1;131.9;131.9;131.9;132.5;132.7;132.2;132.8;133.1;133.4;134.2;134.6;135.0;135.6;135.9;136.2;136.8;136.8;136.7;137.5
sauf énergie;132.2;133.0;133.5;133.5;134.1;134.3;134.9;134.8;134.3;134.7;134.6;134.5;134.9;135.7;135.8;135.7;135.5;136.1;136.0;135.7;135.6;136.2;136.5;136.0;136.7;137.1;137.3;137.9;138.5;138.8;139.5;139.8;140.1;140.7;141.0;141.1;142.1
énergie;148.5;150.1;159.1;168.2;169.2;160.3;163.4;159.3;158.7;158.9;158.1;158.3;158.6;156.6;140.6;128.3;137.0;146.2;149.7;149.3;149.8;149.4;149.1;152.0;154.3;160.4;167.4;170.2;173.2;174.7;179.2;180.2;179.9;187.5;188.4;184.2;190.0
Biens;120.0;121.4;122.7;123.7;123.9;122.8;123.2;122.5;122.7;123.0;123.3;122.6;123.7;123.9;122.0;120.2;121.0;122.6;122.9;122.3;122.2;122.9;123.2;122.5;123.8;125.2;126.2;126.8;127.9;128.1;129.1;129.4;129.6;130.9;131.7;130.8;132.7
Services;147.1;147.6;148.1;148.1;149.2;149.6;150.7;150.9;149.5;150.1;149.4;150.1;149.7;150.8;151.1;151.1;151.1;151.6;151.5;151.6;151.5;151.9;152.1;152.1;152.5;152.6;152.9;153.7;154.0;154.6;155.4;155.7;156.1;156.7;156.5;157.2;157.7
